id;job_title;min_salary;max_salary
1;Генеральный коммуникационный разработчик;1732;25339
2;Национальный операционный разработчик;19384;13990
3;Национальный функциональный дизайнер;11587;20944
4;Региональный маркетинговый аналитик;27113;5953
5;Центральный коммуникационный руководитель;8533;28477
6;Ведущий функциональный специалист;32310;29631
7;Региональный страховой специалист;17929;2463
8;Районный маркетинговый менеджер;3311;24609
9;Региональный коммуникационный архитектор;19980;23354
10;Ведущий оптимизационный техник;26739;6665
