id;street_address;postal_code;city;state_province
1;cuddly where critical;warped somber;Северобайкальск;till angrily
2;yum;gosh;Урюпинск;disapprove forecast
3;makeover;boo malfunction until;Вологда;sharply speedily whether
4;traditionalism decongestant devastation;till;Самара;even tabulate anti
5;yowza;mmm alongside;Казань;whenever
6;greatly strange;ouch oof or;Ачхой Мартан;beyond incomparable um
7;slide sleepily;whoa;Тихорецк;unabashedly
8;against;righteously utterly;Кулунда;hence
9;after;which;Аша;accomplished
10;portly careless;openly pixellate knowledgeably;Пушкин;pfft nor exonerate
